Baccalaureate Institution,Current Institution,Field of Study,Year,Status
Coastal Carolina University,Coastal Carolina University,Geosciences - Atmospheric Chemistry,2013,award
University of Arizona,University of Arizona,Life Sciences - Biochemistry,2013,award
University of North Texas,University of Texas Southwestern Medical Center at Dallas,Life Sciences - Cell Biology,2013,award
University of California-Los Angeles,University of California-San Francisco,Life Sciences - Neurosciences,2013,award
University of Minnesota-Twin Cities,Colorado School of Mines,Engineering - Environmental,2013,award
Michigan Technological University,University of Texas Southwestern Medical Center at Dallas,Life Sciences - other (specify) - Molecular Biology,2013,award
Swarthmore College,Northwestern University,Chemistry - Chemical Synthesis,2013,award
University of South Alabama,University of Illinois at Urbana-Champaign,Life Sciences - Evolutionary Biology,2013,award
University of Michigan Ann Arbor,University of Chicago,Social Sciences - Political Science,2013,award
University of Southern California,Princeton University,Engineering - other (specify) - Plasma Engineering,2013,award
Saint Mary's University of Minnesota,Texas A&M University Main Campus,Comp/IS/Eng - Human Computer Interaction,2013,award
University of Nevada Las Vegas,University of Nevada Las Vegas,Life Sciences - Microbiology,2013,award
Milwaukee School of Engineering,Emory University,Mathematical Sciences - Biostatistics,2013,award
Western Washington University,OHIO STATE UNIVERSITY,Psychology - Psycholinguistics,2013,award
University of Wisconsin-Madison,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Ecology,2013,award
Harvey Mudd College,University of Wisconsin-Madison,"Chemistry - Chemical Theory, Models and Computational Methods",2013,award
Texas A&M University Main Campus,Texas A&M University Main Campus,Engineering - other (specify) - Biological and Agricultural Engineering,2013,award
University of Miami,University of Washington,Life Sciences - Evolutionary Biology,2013,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Physics and Astronomy - Astronomy and Astrophysics,2013,award
University of Idaho,University of Montana,Life Sciences - Genomics,2013,award
Saint Louis University,Washington University,Engineering - Biomedical,2013,award
Albion College,University of Minnesota-Twin Cities,Psychology - Developmental,2013,award
Northeastern Illinois University,University of Wisconsin-Madison,Life Sciences - Biophysics,2013,award
University of California-Irvine,William Marsh Rice University,Mathematical Sciences - Applied Mathematics,2013,award
City University of New York,City University of New York,Life Sciences - Neurosciences,2013,award
UNIVERSIDAD DEL ESTE,University of Wisconsin-Madison,Life Sciences - Microbiology,2013,award
San Diego State University,University of Michigan,Psychology - Cognitive Neuroscience,2013,award
University of California-Davis,University of California-Davis,Comp/IS/Eng - Software Systems and Software Engineering,2013,award
University of Central Florida,University of Central Florida,Engineering - Industrial Engineering and Operations Research,2013,award
Westmont College,University of California-Santa Barbara,"Comp/IS/Eng - Computer Systems, Networking, and Embedded Systems",2013,award
Florida International University,University of Washington,Life Sciences - Cell Biology,2013,award
California State University-Sacramento,University of Florida,Life Sciences - Evolutionary Biology,2013,award
Duke University,Undecided,Engineering - Environmental,2013,award
Tulane University,University of Notre Dame,Life Sciences - Ecology,2013,award
Smith College,UNIVERSITY OF CALIFORNIA BERKELEY,Engineering - Bioengineering,2013,award
Swarthmore College,Undecided,Psychology - Cognitive Neuroscience,2013,award
UNIVERSITY OF CALIFORNIA BERKELEY,Harvard University,Life Sciences - Molecular Biology,2013,award
Concordia College at Moorhead,Drexel University,Geosciences - Paleontology and Paleobiology,2013,award
University of Evansville,University of Cincinnati Main Campus,Engineering - Mechanical,2013,award
University of Pittsburgh,University of Pittsburgh,Engineering - Chemical Engineering,2013,award
Kenyon College,Yale University,Psychology - Social,2013,award
Sarah Lawrence College,Northwestern University,Life Sciences - Molecular Biology,2013,award
Point Loma Nazarene College,University of California-San Diego,"Chemistry - Chemical Theory, Models and Computational Methods",2013,award
Yale University,Duke University,Psychology - Cognitive Neuroscience,2013,award
SUNY at Stony Brook,SUNY at Stony Brook,Engineering - Electrical and Electronic,2013,award
Princeton University,Stanford University,Engineering - Civil Engineering,2013,award
Louisiana State University & Agricultural and Mechanical College,Columbia University,Social Sciences - Sociology  (except Social Work),2013,award
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Undecided,Social Sciences - Political Science,2013,award
SUNY College at Oneonta,University of Nebraska-Lincoln,Geosciences - Physical and Dynamic Meteorology,2013,award
Stanford University,Stanford University,Life Sciences - Neurosciences,2013,award
University of Utah,University of Utah,"Physics and Astronomy - Atomic, Molecular and Optical Physics",2013,award
University of Washington,University of Washington,Social Sciences - Cultural Anthropology,2013,award
Purdue University,University of Michigan Ann Arbor,Physics and Astronomy - Solid State,2013,award
University of Arkansas,University of Arkansas,Physics and Astronomy - Condensed Matter Physics,2013,award
University of Rochester,University of Rochester,Engineering - Optical Engineering,2013,award
University of Maryland,Purdue University,Geosciences - Atmospheric Chemistry,2013,award
University of Wisconsin-Madison,University of California-Irvine,Chemistry - Chemical Synthesis,2013,award
Stanford University,Massachusetts Institute of Technology,Comp/IS/Eng - Computer and Information Security,2013,award
University of Washington,Syracuse University,Social Sciences - Geography,2013,award
Franklin W. Olin College of Engineering,University of California-Riverside,Chemistry - Chemical Catalysis,2013,award
Wellesley College,Wellesley College,Social Sciences - Linguistic Anthropology,2013,award
Macalester College,Undecided,Social Sciences - Economics (except Business Administration),2013,award
University of New Mexico,University of New Mexico,Engineering - Bioengineering,2013,award
California State University-Los Angeles,Undecided,"Materials Research - Materials, other (specify) - Bioinspired Materials",2013,award
University of Arizona,University of Arizona,Engineering - Bioengineering,2013,award
SUNY College at Geneseo,Undecided,Life Sciences - Genomics,2013,award
University of California-Davis,Stanford University,Engineering - Aeronautical and Aerospace,2013,award
William Marsh Rice University,Stanford University,Engineering - Mechanical,2013,award
Ohio State University,Ohio State University,Engineering - Energy,2013,award
Montana State University,Montana State University,Engineering - Environmental,2013,award
University of Chicago,University of Washington,Mathematical Sciences - Mathematical Biology,2013,award
University of Notre Dame,Undecided,Social Sciences - Sociology  (except Social Work),2013,award
University of Texas at Austin,University of Texas at Austin,Engineering - Mechanical,2013,award
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Engineering - Electrical and Electronic,2013,award
Boston University,Boston University,Engineering - Biomedical,2013,award
University of Richmond,SUNY at Stony Brook,Life Sciences - Ecology,2013,award
University of Idaho,University of California-Los Angeles,Chemistry - Chemical Synthesis,2013,award
Oregon State University,University of Washington,Engineering - Mechanical,2013,award
Earlham College,University of Colorado at Boulder,Life Sciences - Ecology,2013,award
University of Southern California,Duke University,Engineering - Biomedical,2013,award
Indiana University,Undecided,Life Sciences - other (specify) - Animal Behavior,2013,award
University of Colorado at Boulder,University of Washington,Chemistry - other (specify) - Chemical Biology,2013,award
Cornell University,Cornell University,Engineering - Chemical Engineering,2013,award
Washington University,Undecided,Engineering - Chemical Engineering,2013,award
University of Arizona,University of Arizona,Psychology - Cognitive,2013,award
Cambridge University,Columbia University,Geosciences - Paleontology and Paleobiology,2013,award
University of Southern California,Stanford University,Engineering - Mechanical,2013,award
Tufts University,University of California-Davis,Life Sciences - Developmental Biology,2013,award
CUNY Queens College,Undecided,Life Sciences - Neurosciences,2013,award
Colorado College,University of California-Santa Cruz,Life Sciences - Ecology,2013,award
University of Colorado at Boulder,University of Colorado at Boulder,Engineering - Mechanical,2013,award
University of Texas at Austin,University of Washington,Life Sciences - Genomics,2013,award
University of Virginia Main Campus,Northern Virginia Community College,Life Sciences - Ecology,2013,award
University of Delaware,University of Delaware,Chemistry - Chemical Catalysis,2013,award
University of Michigan,University of Chicago,Life Sciences - Evolutionary Biology,2013,award
Arizona State University,Arizona State University,Life Sciences - Ecology,2013,award
University of Iowa,University of Iowa,Chemistry - Chemical Synthesis,2013,award
University of Iowa,University of Minnesota-Twin Cities,Engineering - Chemical Engineering,2013,award
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",University of California-Davis,Life Sciences - Ecology,2013,award
Drexel University,University of Pennsylvania,Engineering - Mechanical,2013,award
University of Wisconsin-Madison,JOHNS HOPKINS UNIVERSITY,Life Sciences - Biophysics,2013,award
University of Wyoming,University of Wyoming,Comp/IS/Eng - Human Computer Interaction,2013,award
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,Psychology - Industrial/Organizational,2013,award
Georgia Institute of Technology,Georgia Institute of Technology,Geosciences - Climate and Large-Scale Atmospheric Dynamics,2013,award
University of Colorado at Colorado Springs,University of Colorado at Colorado Springs,Comp/IS/Eng - Robotics and Computer Vision,2013,award
Williams College,Williams College,Comp/IS/Eng - Software Systems and Software Engineering,2013,award
University of Montana,Undecided,Life Sciences - Ecology,2013,award
Cornell University,Georgia Institute of Technology,Geosciences - other (specify) - Planetary Geology,2013,award
Case Western Reserve University,Cornell University,Life Sciences - Genomics,2013,award
